ratio,amount
0.1267605633802817,47
0.12686567164179105,8
0.12698412698412698,73
0.1271186440677966,12
0.12727272727272726,92
0.12738853503184713,3
0.12745098039215685,19
0.12751677852348994,4
0.1276595744680851,118
0.12781954887218044,4
0.12790697674418605,31
0.128,9
0.12804878048780488,1
0.1282051282051282,173
0.12837837837837837,4
0.12844036697247707,25
0.12857142857142856,40
0.12871287128712872,17
0.12878787878787878,6
0.12903225806451613,236
0.1292517006802721,1
0.12931034482758622,7
0.12941176470588237,37
0.12949640287769784,4
0.12953367875647667,1
0.12962962962962962,97
0.1297709923664122,8
0.12987012987012986,48
0.13,20
0.13008130081300814,10
0.13013698630136986,3
0.13043478260869565,363
0.13068181818181818,1
0.13071895424836602,5
0.13076923076923078,6
0.1308411214953271,18
0.13089005235602094,1
0.13095238095238096,44
0.13114754098360656,70
0.13125,3
0.13131313131313133,31
0.13138686131386862,2
0.13142857142857142,2
0.13157894736842105,192
0.13178294573643412,9
0.13186813186813187,24
0.13194444444444445,4
0.1320754716981132,81
0.1322314049586777,6
0.1323529411764706,63
0.13245033112582782,3
0.13253012048192772,31
0.1326530612244898,24
0.13274336283185842,15
0.1328125,10
0.13286713286713286,2
0.13291139240506328,3
0.1329479768786127,1
0.13297872340425532,1
0.13333333333333333,617
0.1337579617834395,1
0.13380281690140844,4
0.13385826771653545,6
0.13392857142857142,14
0.13402061855670103,22
0.13414634146341464,45
0.1342281879194631,3
0.13432835820895522,59
0.13445378151260504,13
0.13450292397660818,2
0.1346153846153846,79
0.13471502590673576,1
0.1347517730496454,5
0.1348314606741573,27
0.1349206349206349,8
0.13496932515337423,3
0.13513513513513514,157
0.13529411764705881,1
0.13533834586466165,6
0.13541666666666666,19
0.13548387096774195,2
0.13559322033898305,58
0.1357142857142857,3
0.13580246913580246,42
0.13592233009708737,16
0.136,10
0.1360544217687075,5
0.13609467455621302,2
0.13612565445026178,1
0.13636363636363635,406
0.13664596273291926,1
0.1366906474820144,4
0.13675213675213677,14
0.1368421052631579,25
0.136986301369863,45
0.13709677419354838,15
0.13714285714285715,1
0.13725490196078433,113
0.13740458015267176,14
0.1375,30
0.13761467889908258,10
0.13768115942028986,6
0.1377245508982036,2
0.13793103448275862,217
0.13815789473684212,1
0.13821138211382114,10
0.13829787234042554,24
0.13836477987421383,4
0.13846153846153847,51
0.13861386138613863,17
0.1386861313868613,7
0.13872832369942195,1
0.1388888888888889,202
0.1390728476821192,3
0.1391304347826087,17
0.13917525773195877,1
0.13924050632911392,41
0.13934426229508196,11
0.1393939393939394,2
0.13953488372093023,143
0.13966480446927373,1
0.13970588235294118,6
0.13978494623655913,34
0.13986013986013987,4
0.14,94
0.14012738853503184,3
0.14018691588785046,19
0.14035087719298245,79
0.14049586776859505,14
0.140625,68
0.14074074074074075,5
0.14084507042253522,50
0.14093959731543623,5
0.14102564102564102,27
0.1411042944785276,2
0.1411764705882353,28
0.14124293785310735,1
0.14130434782608695,22
0.1414141414141414,25
0.14150943396226415,23
0.1415929203539823,15
0.14166666666666666,10
0.14173228346456693,14
0.1417910447761194,5
0.14184397163120568,9
0.14189189189189189,4
0.14193548387096774,2
0.1419753086419753,1
0.14204545454545456,1
0.14207650273224043,1
0.14285714285714285,1229
0.14367816091954022,1
0.14375,2
0.1437908496732026,2
0.14383561643835616,4
0.14388489208633093,6
0.14393939393939395,9
0.144,12
0.1440677966101695,11
0.14414414414414414,16
0.14423076923076922,20
0.14432989690721648,20
0.14444444444444443,26
0.14450867052023122,4
0.14457831325301204,37
0.14465408805031446,1
0.14473684210526316,54
0.14482758620689656,3
0.14492753623188406,76
0.145,1
0.1450381679389313,4
0.14516129032258066,60
0.1452513966480447,1
0.1452991452991453,8
0.14545454545454545,86
0.14556962025316456,4
0.14563106796116504,24
0.1456953642384106,1
0.14583333333333334,86
0.145985401459854,4
0.14606741573033707,29
0.14615384615384616,12
0.14634146341463414,135
0.14655172413793102,18
0.14666666666666667,40
0.14678899082568808,24
0.14685314685314685,3
0.14689265536723164,1
0.14705882352941177,179
0.147239263803681,1
0.14728682170542637,10
0.14736842105263157,25
0.14743589743589744,1
0.14754098360655737,73
0.1476510067114094,1
0.14772727272727273,23
0.14782608695652175,10
0.14788732394366197,6
0.14792899408284024,1
0.14814814814814814,287
0.14838709677419354,4
0.1484375,12
0.1485148514851485,17
0.14864864864864866,33
0.1487603305785124,12
0.1488095238095238,2
0.14893617021276595,114
0.14906832298136646,1
0.14912280701754385,15
0.14925373134328357,67
0.14935064935064934,5
0.14942528735632185,37
0.14948453608247422,1
0.14953271028037382,15
0.14960629921259844,7
0.14965986394557823,8
0.1497005988023952,2
0.15,420
0.1503267973856209,5
0.15037593984962405,13
0.1504424778761062,15
0.15053763440860216,27
0.15060240963855423,3
0.1506849315068493,49
0.15079365079365079,13
0.1509433962264151,91
0.1510791366906475,5
0.1511627906976744,27
0.15126050420168066,16
0.1513157894736842,2
0.15151515151515152,184
0.15172413793103448,6
0.15178571428571427,14
0.1518987341772152,43
0.152,7
0.15217391304347827,102
0.152317880794702,3
0.1523809523809524,15
0.1524390243902439,3
0.15254237288135594,56
0.15263157894736842,1
0.15267175572519084,6
0.1527777777777778,45
0.15286624203821655,5
0.15294117647058825,32
0.15306122448979592,21
0.15315315315315314,18
0.1532258064516129,14
0.15328467153284672,7
0.15333333333333332,3
0.15337423312883436,2
0.1534090909090909,1
0.15343915343915343,1
0.15384615384615385,670
0.15432098765432098,1
0.15436241610738255,6
0.15441176470588236,8
0.15447154471544716,10
0.15454545454545454,19
0.15463917525773196,22
0.15469613259668508,2
0.15476190476190477,27
0.15483870967741936,3
0.15492957746478872,42
0.15503875968992248,5
0.15517241379310345,74
0.15527950310559005,1
0.1553398058252427,18
0.1554054054054054,3
0.15555555555555556,111
0.15568862275449102,1
0.1557377049180328,15
0.15584415584415584,41
0.15591397849462366,1
0.1559633027522936,16
0.15602836879432624,3
0.15606936416184972,1
0.15625,192
0.1564245810055866,1
0.1564625850340136,5
0.1565217391304348,11
0.1566265060240964,44
0.15671641791044777,8
0.15675675675675677,1
0.1568627450980392,72
0.1569767441860465,3
0.15702479338842976,13
0.15706806282722513,1
