_id,overall_stats.avg_battle_values.avg_shoot_down
1000079441,1
1000079624,0.47
1000080084,3.06
1000080126,2.35
1000080378,1.19
1000080408,4.01
1000080463,0.2
1000080515,1.12
1000080613,2.4
1000080707,1.27
1000080725,0.48
1000080731,2.58
1000080750,1.04
1000080760,2.58
1000080793,2.3
1000080807,2.62
1000080873,2
1000080971,1.8
1000080980,0.76
1000081110,3.62
1000081500,0.82
1000081538,0.63
1000081676,1.29
1000081727,1.63
1000081774,0.54
1000081778,2.24
1000081830,1.03
1000081845,2.14
1000081927,1.29
1000081931,0.26
1000081966,1.61
1000081998,2.84
1000082020,2.14
1000082189,1.44
1000082306,0.43
1000082558,8.75
1000082863,1.92
1000082926,0.14
1000082970,1.53
1000083025,0.69
1000083097,3.75
1000083296,3.62
1000083634,2.35
1000083731,1.59
1000083742,1.71
1000083751,1.21
1000083773,1.65
1000083892,2.9
1000084183,2.74
1000084188,2.27
1000084422,0.32
1000084747,0.84
1000084854,3.04
1000084858,1.32
1000084887,2.63
1000084893,1.07
1000085012,1.31
1000085023,1.54
1000085114,1.72
1000085154,1.22
1000085177,2.22
1000085239,0.39
1000085252,2.49
1000085268,1.86
1000085391,0.95
1000085857,1.58
1000085880,0.58
1000085884,1.88
1000085947,1.88
1000086048,1.08
1000086139,1.3
1000086244,2.19
1000086267,1.77
1000086331,1.85
1000086482,1.59
1000086553,1.18
1000086651,1.88
1000086701,1.41
1000086795,2
1000086927,1.04
1000086938,2.96
1000087184,1.91
1000087239,0.46
1000087329,1.56
1000087342,2.38
1000087445,0.31
1000087487,2.4
1000087501,2.24
1000087507,4.95
1000087546,0.85
1000087584,4.05
1000087643,2.3
1000087796,2.26
1000087820,2.77
1000087953,2
1000088035,1.72
1000088108,2
1000088128,1.46
1000088201,1.49
1000088230,1.31
1000088303,2.27
1000088479,0.88
1000088505,0.35
1000088624,1.71
1000088670,2.92
1000088722,1.68
1000088764,1.64
1000088800,1.56
1000088899,0.35
1000089059,1.35
1000089139,1.46
1000089429,2.32
1000089492,1.61
1000089495,1.57
1000089652,2.73
