_id,overall_stats.avg_battle_values.avg_dmg
1000096155,37449
1000096163,33707
1000096189,25951
1000096192,26500
1000096199,30986
1000096212,56071
1000096232,18671
1000096303,27278
1000096498,37084
1000096546,40798
1000096719,40315
1000097101,36039
1000097315,48645
1000097380,34143
1000097382,47719
1000097524,9937
1000097777,25202
1000097858,18279
1000097929,31901
1000098061,44969
1000098068,36560
1000098085,45381
1000098152,31996
1000098209,13557
1000098294,28627
1000098362,34681
1000098421,28241
1000098469,42543
1000098470,43302
1000098533,41509
1000098702,46803
1000098771,30743
1000098796,41409
1000098840,29057
1000098927,51577
1000099309,45481
1000099356,25673
1000099502,43310
1000099540,44811
1000099640,23191
1000099681,41164
1000099760,19795
1000099831,33676
1000099856,35349
1000099864,42189
1000100001,32160
1000100024,64666
1000100095,26202
1000100149,20911
1000100184,20899
1000100186,51275
1000100187,23301
1000100245,30327
1000100252,30384
1000100281,48603
1000100336,47907
1000100346,38577
1000100347,18131
1000100351,43810
1000100405,23358
1000100477,41217
1000100485,32680
1000100493,49453
1000100526,29685
1000100550,31364
1000100570,23344
1000100596,39857
1000100619,22330
1000100664,28169
1000100741,33794
1000100784,38229
1000100790,37167
1000100808,41229
1000100826,17429
1000100850,28664
1000100868,30126
1000100871,30112
1000100893,36477
1000100931,32890
1000101006,29122
1000101053,93776
1000101172,40529
1000101276,43434
1000101578,43053
1000101588,28258
1000101839,38539
1000102034,50131
1000102063,42495
1000102073,36942
1000102148,14204
1000102244,33263
1000102301,70923
1000102562,26128
1000102622,34806
1000102664,23005
1000102670,35895
1000102977,25170
1000103040,30566
1000103055,62580
1000103111,25261
1000103266,35455
1000103523,49544
1000103648,43577
1000103664,48703
1000103763,30556
1000103915,34287
1000103934,37430
1000104066,50299
1000104071,31486
1000104228,41335
1000104267,64105
1000104284,51356
1000104304,23863
1000104385,37873
1000104391,34229
1000104400,28719
1000104479,38516
1000104517,29880
1000104551,44649
1000104874,39280
1000104888,51741
1000104901,35946
1000104949,44117
1000105051,34323
1000105054,55544
1000105144,47125
1000105301,31141
1000105420,31117
1000105519,57633
1000105595,32974
1000105597,19821
1000105635,29797
1000105652,73349
1000105672,38190
1000105690,61179
1000105704,36977
1000106031,31173
1000106045,54212
1000106305,35427
1000106337,36948
1000106562,65130
1000106575,19403
1000106651,50454
1000106666,31012
1000106677,16076
1000106702,43662
1000106813,48428
1000106900,26615
1000107677,30512
1000107694,40006
1000107695,13615
1000107769,37507
1000108159,32572
1000108489,44349
1000108519,45311
1000108541,27616
1000108563,29785
1000108592,46502
1000108635,26141
1000108757,20767
1000108841,26311
1000108862,49800
1000108866,50807
1000108952,48527
1000108988,24232
1000109124,42217
1000109217,25500
