_id,overall_stats.battles
1030425564,1634
1030425632,823
1030426125,670
1030426653,2699
1030426670,5273
1030426809,1207
1030426839,2788
1030427373,2393
1030427700,3356
1030427895,778
1030428075,269
1030429053,112
1030429511,189
1030430772,1026
1030430804,6956
1030430997,651
1030431279,1748
1030431557,198
1030432314,156
1030432869,4435
1030432886,1735
1030434082,1054
1030434177,2347
1030434231,929
1030434424,438
1030434601,306
1030435184,208
1030435339,2735
1030435380,410
1030435709,1290
1030436213,155
1030436325,1002
1030437255,4131
1030438383,2050
1030438673,219
1030438931,4275
1030439120,2339
1030439717,475
1030439900,1370
1030439914,5507
1030440193,1272
1030440563,1371
1030440671,1192
1030440827,2749
1030440831,4090
1030441010,2614
1030441036,207
1030441098,150
1030441207,609
1030441647,1591
1030442329,643
1030442738,5830
1030443312,1297
1030443401,888
1030443911,856
1030444328,608
1030444700,1725
1030445103,6083
1030445358,166
1030445683,1216
1030446050,1233
1030447041,114
1030448190,162
1030448778,436
1030450664,442
1030452816,411
1030453045,1542
1030453176,1979
1030453774,832
1030453875,711
1030454756,1304
1030455083,2077
1030455268,201
1030455289,2270
1030455416,1900
1030455558,3220
1030455646,6473
1030455659,3061
1030456058,2283
1030456164,1045
1030456356,825
1030456541,713
1030456571,2278
1030456920,1494
1030457423,400
1030457595,121
1030457730,722
1030457753,2235
1030457851,1301
1030457922,1022
1030458101,2351
1030458136,1227
1030458514,3365
1030459063,1112
1030459119,707
1030460469,1554
1030460818,150
1030460931,87
1030461323,898
1030461526,2089
1030461527,747
1030462032,2885
1030462065,182
1030462376,451
1030463315,1018
1030463398,2679
1030463541,1747
1030463670,1097
1030464226,2095
1030464370,386
1030464389,1798
1030464934,4922
1030464940,337
1030465323,113
1030466081,2692
1030466154,152
1030466428,9733
1030467204,2348
1030468707,2497
1030469611,1123
1030469714,2150
1030469807,1578
1030469912,278
1030470240,4717
1030470340,1699
1030471056,5949
1030471136,4694
1030471523,681
1030471728,2940
1030472685,197
1030472782,1758
1030472833,2581
1030473452,153
1030473701,117
1030473868,247
1030474223,134
1030474728,1722
1030475021,4107
1030475374,951
1030477026,3222
1030477181,718
1030477222,2879
1030477957,990
1030478719,2111
1030479017,103
1030479084,1962
1030479205,2194
1030479275,650
1030479301,1317
1030480368,194
1030480694,3079
1030480735,890
1030480833,3415
1030480860,1062
1030481737,2855
1030482399,127
1030482801,1220
1030482807,7723
1030483328,2796
1030483402,1573
1030484561,495
1030484575,196
1030485037,2495
1030485149,201
1030485487,1923
1030485715,2044
1030486018,116
1030486142,1277
1030486570,618
1030486651,177
1030486789,313
1030486943,1071
1030487663,1246
1030487869,1571
1030487950,770
1030488398,257
1030488424,1177
1030488565,1646
1030488651,1431
1030488673,1176
1030489587,535
1030489619,1375
1030490271,6598
1030490303,1662
1030490568,806
1030490732,2868
1030490810,521
1030491222,346
1030491549,611
1030491562,567
1030491858,418
1030492083,174
1030492136,835
