_id,overall_stats.avg_battle_values.avg_frags
1000083025,0.82
1000083097,0.79
1000083296,1.41
1000083634,1.31
1000083731,0.89
1000083742,1.19
1000083751,0.67
1000083773,0.69
1000083892,0.66
1000084183,0.85
1000084188,1.03
1000084422,0.75
1000084747,0.4
1000084854,0.8
1000084858,0.66
1000084887,0.53
1000084893,0.71
1000085012,0.96
1000085023,0.75
1000085114,0.8
1000085154,0.72
1000085177,0.9
1000085239,1.11
1000085252,1.35
1000085268,0.87
1000085391,0.64
1000085857,0.96
1000085880,0.78
1000085884,0.92
1000085947,0.73
1000086048,1.12
1000086139,0.79
1000086244,1.16
1000086267,0.66
1000086331,1.26
1000086482,0.75
1000086553,0.74
1000086651,0.92
1000086701,0.6
1000086795,0.56
1000086927,0.8
1000086938,0.62
1000087184,0.96
1000087239,1.2
1000087329,1.17
1000087342,1.12
1000087445,0.62
1000087487,0.83
1000087501,0.76
1000087507,1.07
1000087546,0.65
1000087584,1.21
1000087643,0.79
1000087796,1.11
1000087820,1.03
1000087953,0.81
1000088035,1.13
1000088108,0.87
1000088128,1.19
1000088201,0.93
1000088230,0.67
1000088303,1.01
1000088479,1.05
1000088505,0.81
1000088624,0.71
1000088670,0.98
1000088722,0.95
1000088764,0.69
1000088800,0.97
1000088899,0.36
1000089059,0.91
1000089139,0.5
1000089429,1.11
1000089492,0.65
1000089495,0.59
1000089652,1.33
1000089688,1.21
1000089715,0.92
1000089729,1.05
1000089780,0.96
1000089808,0.82
1000089855,0.83
1000089919,0.51
1000089934,0.61
1000089952,0.38
1000089978,0.48
1000089993,0.77
1000090007,0.86
1000090090,0.62
1000090157,0.9
1000090185,1.14
1000090478,0.8
1000090745,0.29
1000090952,1.24
1000090972,0.87
1000090990,0.87
1000091081,0.79
1000091207,0.73
1000091214,0.58
1000091230,0.41
1000091328,0.87
1000091393,1.04
1000091402,0.43
1000091495,1.08
1000091740,1.25
1000091793,0.72
1000091797,0.7
1000091827,0.95
1000091844,0.8
1000091982,0.77
1000092114,1
1000092593,1.17
1000092695,0.86
1000092730,0.78
1000092835,1.04
1000092855,0.75
1000092917,0.83
1000092925,0.79
1000092931,0.7
1000092939,0.85
1000092945,0.77
1000093019,1.14
1000093027,0.95
1000093048,0.94
1000093068,1.16
1000093135,0.74
1000093167,0.73
1000093190,1.08
1000093218,0.44
1000093256,0.57
1000093262,0.7
1000093475,0.8
1000093515,1.02
1000093595,0.62
1000093835,0.77
1000093951,0.78
1000094070,0.65
1000094117,0.88
1000094202,0.91
1000094315,0.63
1000094336,0.44
1000094349,0.96
1000094351,1.01
1000094372,1.2
1000094424,0.96
1000094438,0.73
1000094527,0.56
1000094877,1.19
1000095014,0.74
1000095286,0.94
1000095437,0.68
1000095454,0.48
1000095527,0.69
1000095660,0.63
1000095823,0.98
1000095852,0.46
1000095872,0.47
1000095923,0.51
1000095926,1.07
1000095971,0.34
1000096101,1.04
1000096124,0.38
1000096153,0.86
1000096155,0.53
1000096163,0.55
1000096189,0.77
1000096192,0.75
1000096199,0.73
1000096212,0.96
1000096232,0.53
1000096303,0.87
1000096498,0.62
1000096546,1.1
1000096719,1.12
1000097101,0.69
1000097315,0.86
1000097380,0.77
1000097382,0.89
1000097524,0.2
1000097777,0.65
1000097858,0.5
1000097929,0.92
1000098061,0.96
1000098068,0.87
1000098085,1.02
1000098152,0.84
1000098209,0.23
1000098294,0.65
1000098362,0.85
1000098421,0.61
1000098469,0.85
1000098470,0.89
1000098533,1
1000098702,0.9
1000098771,0.54
1000098796,0.94
1000098840,0.79
1000098927,0.95
1000099309,0.69
1000099356,0.59
1000099502,0.78
1000099540,0.86
1000099640,0.68
1000099681,1.11
1000099760,0.46
1000099831,0.64
1000099856,0.85
1000099864,1.02
1000100001,0.62
1000100024,1.05
1000100095,0.55
1000100149,0.54
1000100184,0.46
1000100186,0.81
1000100187,0.44
1000100245,1.05
1000100252,0.6
1000100281,0.89
1000100336,0.83
1000100346,0.76
1000100347,0.48
1000100351,0.95
1000100405,0.53
1000100477,0.5
1000100485,0.57
1000100493,0.91
1000100526,0.84
1000100550,0.71
1000100570,0.82
1000100596,0.86
1000100619,0.39
1000100664,0.78
1000100741,0.69
