_id,overall_stats.avg_battle_values.avg_spot
1000073153,2
1000073157,1.1
1000073352,0.9
1000073480,1.3
1000073493,0.91
1000073529,1.35
1000073634,1.78
1000073732,0.92
1000073770,1.91
1000073776,0.28
1000073966,1
1000074151,0.47
1000074253,0.69
1000074275,0.82
1000074285,2.77
1000074405,1.45
1000074471,0.44
1000074495,0.41
1000074561,0.67
1000074564,1.48
1000074775,0.88
1000074821,1.05
1000075064,0.85
1000075147,1.58
1000075223,0.82
1000075279,0.76
1000075345,0.72
1000075403,1.26
1000075452,0.92
1000075522,1.55
1000075566,1.12
1000075567,0.21
1000075637,1.54
1000075655,0.64
1000075723,0.18
1000075740,1.53
1000075742,1.23
1000075760,1.28
1000075769,5.83
1000075795,0.48
1000075819,0.43
1000075824,1.44
1000075914,0.81
1000075929,1.1
1000075976,1.14
1000075985,1.9
1000076013,1.03
1000076035,0.75
1000076075,0.88
1000076127,0.56
1000076185,0.94
1000076200,1.81
1000076262,0.73
1000076293,1.4
1000076324,0.54
1000076335,0.67
1000076342,2.5
1000076383,1.17
1000076387,0.52
1000076398,1.76
1000076431,0.71
1000076432,0.97
1000076488,0.42
1000076505,5.01
1000076522,0.85
1000076579,0.4
1000076612,0.39
1000076645,0.52
1000076663,1.11
1000076677,1.59
1000076707,0.85
1000076750,1.26
1000076781,0.93
1000076875,0.86
1000076976,0.54
1000077082,0.48
1000077097,0.61
1000077229,0.85
1000077268,0.57
1000077307,1.02
1000077355,1.71
1000077465,0.39
1000077509,0.61
1000077527,0.75
1000077560,1.04
1000077628,1.24
1000077673,0.28
1000077846,0.78
1000077987,0.34
1000078124,1.15
1000078184,0.38
1000078414,0.51
1000078580,1.03
1000078800,0.75
1000079205,1.63
1000079220,0.57
1000079260,1.41
1000079282,1.33
1000079311,1.16
1000079340,0.92
1000079352,1.16
1000079360,0.5
1000079366,0.41
1000079441,1.41
1000079624,0.18
1000080084,0.33
1000080126,1.56
1000080378,0.9
1000080408,2.15
1000080463,0.93
1000080515,0.89
1000080613,1.68
1000080707,0.48
1000080725,0.65
1000080731,1.95
1000080750,0.63
1000080760,1.55
1000080793,2.85
1000080807,0.73
1000080873,1.2
1000080971,1.41
1000080980,1.52
1000081110,1.25
1000081500,0.4
1000081538,0.87
1000081676,0.57
1000081727,0.96
1000081774,0.72
1000081778,2.13
1000081830,1.04
1000081845,0.83
1000081927,0.92
1000081931,0.86
1000081966,0.45
1000081998,0.87
1000082020,1.04
1000082189,0.43
1000082306,1.03
1000082558,1.55
1000082863,1.13
1000082926,0
1000082970,0.98
1000083025,1
1000083097,1.7
1000083296,1.08
1000083634,0.67
1000083731,0.83
1000083742,1.49
1000083751,0.72
1000083773,0.7
1000083892,1.09
1000084183,1.02
1000084188,0.61
1000084422,1.11
1000084747,1.02
1000084854,0.61
1000084858,1.12
1000084887,1.1
1000084893,0.87
1000085012,0.92
1000085023,0.85
1000085114,0.32
1000085154,0.38
1000085177,1.03
1000085239,2.4
1000085252,1.29
1000085268,1.19
1000085391,1.2
1000085857,1.6
1000085880,1.6
1000085884,0.53
1000085947,1.4
1000086048,0.99
1000086139,0.42
1000086244,0.8
1000086267,1.55
1000086331,0.54
1000086482,1.25
1000086553,0.84
1000086651,1.57
1000086701,0.58
1000086795,0.63
1000086927,0.55
1000086938,0.68
